,word,frequency,length
文學wénxué,文學wénxué,4,6,
少shǎo,少shǎo,4,4,
女兒nǚér,女兒nǚér,4,4,
更好gènghǎo,更好gènghǎo,4,7,
批評pīpíng,批評pīpíng,4,6,
印度yìndù,印度yìndù,4,5,
即jí,即jí,4,2,
仍然réngrán,仍然réngrán,4,7,
抵抗dǐkàng,抵抗dǐkàng,4,6,
前往qiánwǎng,前往qiánwǎng,4,8,
安大略省āndàlüèshěng,安大略省āndàlüèshěng,4,12,
太tài,太tài,4,3,
相似xiāngshì,相似xiāngshì,4,8,
開放kāifàng,開放kāifàng,4,7,
里lǐ,里lǐ,4,2,
上升shàngshēng,上升shàngshēng,4,10,
地位de dìwèi,地位de dìwèi,4,8,
鴉片yāpiàn,鴉片yāpiàn,4,6,
當地dāngde dì,當地dāngde dì,4,9,
警告jǐnggào,警告jǐnggào,4,7,
逐漸zhújiàn,逐漸zhújiàn,4,7,
指控zhǐkòng,指控zhǐkòng,4,7,
月份yuèfèn,月份yuèfèn,4,6,
水shuǐ,水shuǐ,4,4,
動物dòngwù,動物dòngwù,4,6,
克林頓kèlíndùn,克林頓kèlíndùn,4,8,
到達dàodá,到達dàodá,4,5,
追溯zhuīsù,追溯zhuīsù,4,6,
過程guòchéng,過程guòchéng,4,8,
藝術yìshù,藝術yìshù,4,5,
曾經céngjīng,曾經céngjīng,4,8,
小型xiǎoxíng,小型xiǎoxíng,4,8,
那樣nàyàng,那樣nàyàng,4,6,
覺得juédé,覺得juédé,4,5,
去年qùnián,去年qùnián,4,6,
首次shǒucì,首次shǒucì,4,6,
九jiǔ,九jiǔ,4,3,
泰國tàiguó,泰國tàiguó,4,6,
大概dàgài,大概dàgài,4,5,
拉費蒂lāfèidì,拉費蒂lāfèidì,4,7,
共和國gònghéguó,共和國gònghéguó,4,9,
機率jīlǜ,機率jīlǜ,4,4,
製作zhìzuò,製作zhìzuò,4,6,
最新zuìxīn,最新zuìxīn,4,6,
消息xiāoxī,消息xiāoxī,4,6,
交通jiāotōng,交通jiāotōng,4,8,
中期zhōngqī,中期zhōngqī,4,7,
天氣tiānqì,天氣tiānqì,4,6,
首shǒu,首shǒu,4,4,
作家zuòjiā,作家zuòjiā,4,6,
西格爾xīgéěr,西格爾xīgéěr,4,6,
單曲dānqū,單曲dānqū,4,5,
少數shǎoshù,少數shǎoshù,4,7,
唱片chàngpiàn,唱片chàngpiàn,4,9,
地球de dìqiú,地球de dìqiú,4,8,
植物zhíwù,植物zhíwù,4,5,
八bā,八bā,4,2,
僅僅jǐnjǐn,僅僅jǐnjǐn,4,6,
除chú,除chú,4,3,
身體shēntǐ,身體shēntǐ,4,6,
移民yímín,移民yímín,4,5,
同盟tóngméng,同盟tóngméng,4,8,
征服zhēngfú,征服zhēngfú,4,7,
建造jiànzào,建造jiànzào,4,7,
造成zàochéng,造成zàochéng,4,8,
難nán,難nán,4,3,
男性nánxìng,男性nánxìng,4,7,
允許yǔnxǔ,允許yǔnxǔ,4,5,
當天dāngtiān,當天dāngtiān,4,8,
缺乏quēfá,缺乏quēfá,4,5,
以外yǐwài,以外yǐwài,4,5,
步bù,步bù,4,2,
壓力yālì,壓力yālì,4,4,
較低jiàodī,較低jiàodī,4,6,
三世sānshì,三世sānshì,4,6,
舉辦jǔbàn,舉辦jǔbàn,4,5,
海洋hǎiyáng,海洋hǎiyáng,4,7,
遊行yóuxíng,遊行yóuxíng,4,7,
摩拉維亞mólāwéiyà,摩拉維亞mólāwéiyà,4,9,
國民guómín,國民guómín,4,6,
公爵gōngjué,公爵gōngjué,4,7,
基金jījīn,基金jījīn,4,5,
夏天xiàtiān,夏天xiàtiān,4,7,
得到dédào,得到dédào,4,5,
高爾夫gāoěrfū,高爾夫gāoěrfū,4,7,
樂隊lèduì,樂隊lèduì,4,5,
從未cóngwèi,從未cóngwèi,4,7,
返回fǎnhuí,返回fǎnhuí,4,6,
想法xiǎngfǎ,想法xiǎngfǎ,4,7,
海岸hǎiàn,海岸hǎiàn,4,5,
需求xūqiú,需求xūqiú,4,5,
分子fēnzi,分子fēnzi,3,5,
當中dāngzhōng,當中dāngzhōng,3,9,
乾旱qián gānhàn,乾旱qián gānhàn,3,11,
鏈接liànjiē,鏈接liànjiē,3,7,
首先shǒuxiān,首先shǒuxiān,3,8,
恐怖kǒngbù,恐怖kǒngbù,3,6,
轉移zhuǎnyí,轉移zhuǎnyí,3,7,
展覽zhǎnlǎn,展覽zhǎnlǎn,3,7,
豬zhū,豬zhū,3,3,
參議院cānyìyuàn,參議院cānyìyuàn,3,9,
二èr,二èr,3,2,
風格fēnggé,風格fēnggé,3,6,
瑞士ruìshì,瑞士ruìshì,3,6,
每升měishēng,每升měishēng,3,8,
興趣xìngqù,興趣xìngqù,3,6,
學者xuézhě,學者xuézhě,3,6,
瓦倫蒂諾wǎlúndìnuò,瓦倫蒂諾wǎlúndìnuò,3,10,
兄弟xiōngdì,兄弟xiōngdì,3,7,
顆粒kēlì,顆粒kēlì,3,4,
一般yībān,一般yībān,3,5,
伊斯蘭yīsīlán,伊斯蘭yīsīlán,3,7,
視頻shìpín,視頻shìpín,3,6,
侵略qīnlüè,侵略qīnlüè,3,6,
留下liúxià,留下liúxià,3,6,
運動會yùndònghuì,運動會yùndònghuì,3,10,
節目jiémù,節目jiémù,3,5,
地表de dìbiǎo,地表de dìbiǎo,3,9,
指南zhǐnán,指南zhǐnán,3,6,
快速kuàisù,快速kuàisù,3,6,
激增jīzēng,激增jīzēng,3,6,
解決jiějué,解決jiějué,3,6,
阻止zǔzhǐ,阻止zǔzhǐ,3,5,
資格zīgé,資格zīgé,3,4,
反應fǎnyīng,反應fǎnyīng,3,7,
行xíng,行xíng,3,4,
個人gèrén,個人gèrén,3,5,
禁止jìnzhǐ,禁止jìnzhǐ,3,6,
柴油cháiyóu,柴油cháiyóu,3,7,
路途lùtú,路途lùtú,3,4,
東南部dōngnánbù,東南部dōngnánbù,3,9,
競選jìngxuǎn,競選jìngxuǎn,3,8,
男人nánrén,男人nánrén,3,6,
慶典qìngdiǎn,慶典qìngdiǎn,3,8,
民主黨mínzhǔdǎng,民主黨mínzhǔdǎng,3,10,
今年jīnnián,今年jīnnián,3,7,
截jié,截jié,3,3,
鐵路tiělù,鐵路tiělù,3,5,
阿爾卑斯āěrbēisī,阿爾卑斯āěrbēisī,3,8,
一定yīdìng,一定yīdìng,3,6,
嬰兒yīngér,嬰兒yīngér,3,6,
歐盟ōuméng,歐盟ōuméng,3,6,
選民xuǎnmín,選民xuǎnmín,3,7,
言yán,言yán,3,3,
條件tiáojiàn,條件tiáojiàn,3,8,
常見chángjiàn,常見chángjiàn,3,9,
評估pínggū,評估pínggū,3,6,
票piào,票piào,3,4,
官方guānfāng,官方guānfāng,3,8,
爆發bàofā,爆發bàofā,3,5,
命令mìnglìng,命令mìnglìng,3,8,
迪士尼díshìní,迪士尼díshìní,3,7,
人物rénwù,人物rénwù,3,5,
奧巴馬àobāmǎ,奧巴馬àobāmǎ,3,6,
標準biāozhǔn,標準biāozhǔn,3,8,
農業nóngyè,農業nóngyè,3,6,
父親fùqīn,父親fùqīn,3,5,
用地yòngde dì,用地yòngde dì,3,9,
城鎮化chéngzhènhuà,城鎮化chéngzhènhuà,3,12,
互聯網hùliánwǎng,互聯網hùliánwǎng,3,10,
巴布亞bābùyà,巴布亞bābùyà,3,6,
新幾內亞xīnjǐnèiyà,新幾內亞xīnjǐnèiyà,3,10,
轉變zhuǎnbiàn,轉變zhuǎnbiàn,3,9,
真的zhēnde,真的zhēnde,3,6,
靠kào,靠kào,3,3,
劇場jùchǎng,劇場jùchǎng,3,7,
開展kāizhǎn,開展kāizhǎn,3,7,
鐵tiě,鐵tiě,3,3,
工業gōngyè,工業gōngyè,3,6,
在內zàinèi,在內zàinèi,3,6,
土著tǔzhe,土著tǔzhe,3,5,
評論pínglùn,評論pínglùn,3,7,
公投gōngtóu,公投gōngtóu,3,7,
發表fābiǎo,發表fābiǎo,3,6,
依然yīrán,依然yīrán,3,5,
也是yěshì,也是yěshì,3,5,
轉型zhuǎnxíng,轉型zhuǎnxíng,3,9,
領先lǐngxiān,領先lǐngxiān,3,8,
克里斯托弗kèlǐsītuōfú,克里斯托弗kèlǐsītuōfú,3,11,
優勢yōushì,優勢yōushì,3,6,
現xiàn,現xiàn,3,4,
黃金huángjīn,黃金huángjīn,3,8,
荷蘭hélán,荷蘭hélán,3,5,
定居dìngjū,定居dìngjū,3,6,
長zhǎng,長zhǎng,3,5,
東部dōngbù,東部dōngbù,3,6,
了解lejiě,了解lejiě,3,5,
小說xiǎoshuō,小說xiǎoshuō,3,8,
布朗特bùlǎngtè,布朗特bùlǎngtè,3,8,
殺死shāsǐ,殺死shāsǐ,3,5,
市民shìmín,市民shìmín,3,6,
說明shuōmíng,說明shuōmíng,3,8,
伯爵bójué,伯爵bójué,3,5,
三島sāndǎo,三島sāndǎo,3,6,
布里斯班bùlǐsībān,布里斯班bùlǐsībān,3,9,
同意tóngyì,同意tóngyì,3,6,
黨派dǎngpài,黨派dǎngpài,3,7,
寫道xiědào,寫道xiědào,3,6,
有些yǒuxiē,有些yǒuxiē,3,6,
不要bùyào,不要bùyào,3,5,
茉莉mòlì,茉莉mòlì,3,4,
本地běnde dì,本地běnde dì,3,8,
雅典yǎdiǎn,雅典yǎdiǎn,3,6,
周zhōu,周zhōu,3,4,
產業chǎnyè,產業chǎnyè,3,6,
震驚zhènjīng,震驚zhènjīng,3,8,
擊敗jībài,擊敗jībài,3,5,
分類法fēnlèifǎ,分類法fēnlèifǎ,3,8,
之外zhīwài,之外zhīwài,3,6,
條tiáo,條tiáo,3,4,
巨大jùdà,巨大jùdà,3,4,
希區柯克xīqūkēkè,希區柯克xīqūkēkè,3,8,
康復kāngfù,康復kāngfù,3,6,
般bān,般bān,3,3,
措施cuòshī,措施cuòshī,3,6,
特徵tèzhǐ zhēng,特徵tèzhǐ zhēng,3,11,
最好zuìhǎo,最好zuìhǎo,3,6,
某mǒu,某mǒu,3,3,
回歸huíguī,回歸huíguī,3,6,
原本yuánběn,原本yuánběn,3,7,
高加索gāojiāsuǒ,高加索gāojiāsuǒ,3,9,
總督zǒngdū,總督zǒngdū,3,6,
糟糕zāogāo,糟糕zāogāo,3,6,
支出zhīchū,支出zhīchū,3,6,
走zǒu,走zǒu,3,3,
華盛頓huáshèngdùn,華盛頓huáshèngdùn,3,11,
希拉里xīlālǐ,希拉里xīlālǐ,3,6,
邊界biānjiè,邊界biānjiè,3,7,
六十liùshí,六十liùshí,3,6,
舉行jǔxíng,舉行jǔxíng,3,6,
引發yǐnfā,引發yǐnfā,3,5,
合同hétóng,合同hétóng,3,6,
實行shíxíng,實行shíxíng,3,7,
釋放shìfàng,釋放shìfàng,3,7,
約翰yuēhàn,約翰yuēhàn,3,6,
表現biǎoxiàn,表現biǎoxiàn,3,8,
頭銜tóuxián,頭銜tóuxián,3,7,
運用yùnyòng,運用yùnyòng,3,7,
工人gōngrén,工人gōngrén,3,7,
中華zhōnghuá,中華zhōnghuá,3,8,
主題zhǔtí,主題zhǔtí,3,5,
大幅dàfú,大幅dàfú,3,4,
在位zàiwèi,在位zàiwèi,3,6,
成員chéngyuán,成員chéngyuán,3,9,
馬丁mǎdīng,馬丁mǎdīng,3,6,
支付zhīfù,支付zhīfù,3,5,
當作dāngzuò,當作dāngzuò,3,7,
會見huìjiàn,會見huìjiàn,3,7,
業務yèwù,業務yèwù,3,4,
態度tàidù,態度tàidù,3,5,
瑞典ruìdiǎn,瑞典ruìdiǎn,3,7,
賴特làitè,賴特làitè,3,5,
同tóng,同tóng,3,4,
團隊tuánduì,團隊tuánduì,3,7,
凱莎kǎishā,凱莎kǎishā,3,6,
政權zhèngquán,政權zhèngquán,3,9,
溫斯頓wēnsīdùn,溫斯頓wēnsīdùn,3,8,
確定quèdìng,確定quèdìng,3,7,
難以置信nányǐzhìxìn,難以置信nányǐzhìxìn,3,11,
大國dàguó,大國dàguó,3,5,
財政cáizhèng,財政cáizhèng,3,8,
科技kējì,科技kējì,3,4,
製造zhìzào,製造zhìzào,3,6,
角色jiǎosè,角色jiǎosè,3,6,
議會yìhuì,議會yìhuì,3,5,
自治zìzhì,自治zìzhì,3,5,
丹麥dānmài,丹麥dānmài,3,6,
生涯shēngyá,生涯shēngyá,3,7,
職業zhíyè,職業zhíyè,3,5,
席xí,席xí,3,2,
夢想mèngxiǎng,夢想mèngxiǎng,3,9,
事情shìqíng,事情shìqíng,3,7,
大選dàxuǎn,大選dàxuǎn,3,6,
芬蘭語fēnlányǔ,芬蘭語fēnlányǔ,3,8,
法fǎ,法fǎ,3,2,
數量shùliàng,數量shùliàng,3,8,
城邦chéngbāng,城邦chéngbāng,3,9,
錢qián,錢qián,3,4,
約瑟夫yuēsèfū,約瑟夫yuēsèfū,3,7,
突然tūrán,突然tūrán,3,5,
具體jùtǐ,具體jùtǐ,3,4,
反fǎn,反fǎn,3,3,
關鍵guānjiàn,關鍵guānjiàn,3,8,
餘額yúé,餘額yúé,3,3,
理解lǐjiě,理解lǐjiě,3,5,
研究所yánjiūsuǒ,研究所yánjiūsuǒ,3,9,
本來běnlái,本來běnlái,3,6,
阿契美尼德āqìměinídé,阿契美尼德āqìměinídé,3,10,
清楚qīngchǔ,清楚qīngchǔ,3,7,
居里jūlǐ,居里jūlǐ,3,4,
對待duìdài,對待duìdài,3,6,
色雷斯sèléisī,色雷斯sèléisī,3,7,
地標de dìbiāo,地標de dìbiāo,3,9,
排除páichú,排除páichú,3,6,
帶領dàilǐng,帶領dàilǐng,3,7,
學院xuéyuàn,學院xuéyuàn,3,7,
大使dàshǐ,大使dàshǐ,3,5,
奧地利àode dìlì,奧地利àode dìlì,3,9,
大廈dàshà,大廈dàshà,3,5,
削減xuējiǎn,削減xuējiǎn,3,7,
將軍jiāngjūn,將軍jiāngjūn,3,8,
好幾hǎojǐ,好幾hǎojǐ,3,5,
穀物gǔwù,穀物gǔwù,3,4,
文字wénzì,文字wénzì,3,5,
遊戲yóuxì,遊戲yóuxì,3,5,
發明fāmíng,發明fāmíng,3,6,
法庭fǎtíng,法庭fǎtíng,3,6,
西部xībù,西部xībù,3,4,
依賴yīlài,依賴yīlài,3,5,
雷達léidá,雷達léidá,3,5,
人才réncái,人才réncái,3,6,
課程kèchéng,課程kèchéng,3,7,
對方duìfāng,對方duìfāng,3,7,
迫害pòhài,迫害pòhài,3,5,
之下zhīxià,之下zhīxià,3,6,
穩定wěndìng,穩定wěndìng,3,7,
領導人lǐngdǎorén,領導人lǐngdǎorén,3,10,
節日jiérì,節日jiérì,3,5,
皇帝huángdì,皇帝huángdì,3,7,
公開gōngkāi,公開gōngkāi,3,7,
面臨miànlín,面臨miànlín,3,7,
以至yǐzhì,以至yǐzhì,3,5,
成立chénglì,成立chénglì,3,7,
半bàn,半bàn,3,3,
近jìn,近jìn,3,3,
預計yùjì,預計yùjì,3,4,
十四shísì,十四shísì,3,5,
皇家huángjiā,皇家huángjiā,3,8,
某種mǒuzhǒng,某種mǒuzhǒng,3,8,
實施shíshī,實施shíshī,3,6,
投降tóujiàng,投降tóujiàng,3,8,
你們nǐmen,你們nǐmen,3,5,
鬥爭dòuzhēng,鬥爭dòuzhēng,3,8,
合法héfǎ,合法héfǎ,3,4,
帶dài,帶dài,3,3,
摩托車mótuōchē,摩托車mótuōchē,3,8,
想像xiǎngxiàng,想像xiǎngxiàng,3,10,
發起fāqǐ,發起fāqǐ,3,4,
羅馬人luómǎrén,羅馬人luómǎrén,3,8,
特點tèdiǎn,特點tèdiǎn,3,6,
戰後zhànhòu,戰後zhànhòu,3,7,
領域lǐngyù,領域lǐngyù,3,6,
王朝wángcháo,王朝wángcháo,3,8,
確信quèxìn,確信quèxìn,3,6,
鼓勵gǔlì,鼓勵gǔlì,3,4,
花費huāfèi,花費huāfèi,3,6,
擔憂dānyōu,擔憂dānyōu,3,6,
專家zhuānjiā,專家zhuānjiā,3,8,
推進tuījìn,推進tuījìn,3,6,
種子zhǒngzi,種子zhǒngzi,3,7,
亞洲yàzhōu,亞洲yàzhōu,3,6,
獎金jiǎngjīn,獎金jiǎngjīn,3,8,
諸如zhūrú,諸如zhūrú,3,5,
消費者xiāofèizhě,消費者xiāofèizhě,3,10,
氣體qìtǐ,氣體qìtǐ,3,4,
郵件yóujiàn,郵件yóujiàn,3,7,
努力nǔlì,努力nǔlì,3,4,
網絡wǎngluò,網絡wǎngluò,3,7,
奧斯卡àosīkǎ,奧斯卡àosīkǎ,3,6,
網站wǎngzhàn,網站wǎngzhàn,3,8,
菲利普fēilìpǔ,菲利普fēilìpǔ,3,7,
派pài,派pài,3,3,
重大zhòngdà,重大zhòngdà,3,7,
無wú,無wú,3,2,
大戰dàzhàn,大戰dàzhàn,3,6,
戰場zhànchǎng,戰場zhànchǎng,3,9,
海上hǎishàng,海上hǎishàng,3,8,
小時xiǎoshí,小時xiǎoshí,3,7,
助手zhùshǒu,助手zhùshǒu,3,7,
南海nánhǎi,南海nánhǎi,3,6,
金jīn,金jīn,3,3,
圖特摩斯tútèmósī,圖特摩斯tútèmósī,3,8,
博格達汗bógédáhàn,博格達汗bógédáhàn,3,9,
古巴gǔbā,古巴gǔbā,3,4,
績效jīxiào,績效jīxiào,3,6,
實現shíxiàn,實現shíxiàn,3,7,
採訪cǎifǎng,採訪cǎifǎng,3,7,
天主教tiānzhǔjiào,天主教tiānzhǔjiào,3,11,
治療zhìliáo,治療zhìliáo,3,7,
趨勢qūshì,趨勢qūshì,3,5,
皈依guīyī,皈依guīyī,3,5,
區qū,區qū,3,2,
攻擊gōngjī,攻擊gōngjī,3,6,
贊助zànzhù,贊助zànzhù,3,6,
空氣kōngqì,空氣kōngqì,3,6,
滿足mǎnzú,滿足mǎnzú,3,5,
給予gěiyǔ,給予gěiyǔ,3,5,
宣傳xuānchuán,宣傳xuānchuán,3,9,
公共gōnggòng,公共gōnggòng,3,8,
據說jùshuō,據說jùshuō,3,6,
重新zhòngxīn,重新zhòngxīn,3,8,
意見yìjiàn,意見yìjiàn,3,6,
部門bùmén,部門bùmén,3,5,
內戰nèizhàn,內戰nèizhàn,3,7,
明白míngbái,明白míngbái,3,7,
各種gèzhǒng,各種gèzhǒng,3,7,
戰鬥zhàndòu,戰鬥zhàndòu,3,7,
工資gōngzī,工資gōngzī,3,6,
領導lǐngdǎo,領導lǐngdǎo,3,7,
無論wúlùn,無論wúlùn,3,5,
保羅bǎoluó,保羅bǎoluó,3,6,
女孩nǚhái,女孩nǚhái,3,5,
以為yǐwèi,以為yǐwèi,3,5,
答案dáàn,答案dáàn,3,4,
授予shòuyǔ,授予shòuyǔ,3,6,
記者jìzhě,記者jìzhě,3,5,
近期jìnqī,近期jìnqī,3,5,
解放jiěfàng,解放jiěfàng,3,7,
友誼yǒuyì,友誼yǒuyì,3,5,
沈shěn chén,沈shěn chén,3,9,
直到zhídào,直到zhídào,3,6,
奧斯曼人àosīmànrén,奧斯曼人àosīmànrén,3,10,
首都shǒudōu dū,首都shǒudōu dū,3,10,
女性nǚxìng,女性nǚxìng,3,6,
徵收zhǐ zhēngshōu,徵收zhǐ zhēngshōu,3,13,
二十èrshí,二十èrshí,3,5,
有助yǒuzhù,有助yǒuzhù,3,6,
改革gǎigé,改革gǎigé,3,5,
括kuò,括kuò,3,3,
帶有dàiyǒu,帶有dàiyǒu,3,6,
設備shèbèi,設備shèbèi,3,6,
猶太人yóutàirén,猶太人yóutàirén,3,9,
疑問yíwèn,疑問yíwèn,3,5,
亞yà,亞yà,3,2,
相信xiāngxìn,相信xiāngxìn,3,8,
不僅bùjǐn,不僅bùjǐn,3,5,
排放páifàng,排放páifàng,3,7,
言論yánlùn,言論yánlùn,3,6,
巴拿馬bānámǎ,巴拿馬bānámǎ,3,6,
亨利hēnglì,亨利hēnglì,3,6,
法老fǎlǎo,法老fǎlǎo,3,5,
法院fǎyuàn,法院fǎyuàn,3,6,
祖母zǔmǔ,祖母zǔmǔ,3,4,
模糊móhú,模糊móhú,3,4,
原住民yuánzhùmín,原住民yuánzhùmín,3,10,
領土lǐngtǔ,領土lǐngtǔ,3,6,
合理hélǐ,合理hélǐ,3,4,
兄弟們xiōngdìmen,兄弟們xiōngdìmen,3,10,
高中gāozhōng,高中gāozhōng,3,8,
叛亂pànluàn,叛亂pànluàn,3,7,
信仰xìnyǎng,信仰xìnyǎng,3,7,
處罰chùfá,處罰chùfá,3,5,
立法lìfǎ,立法lìfǎ,3,4,
人民rénmín,人民rénmín,2,6,
效忠xiàozhōng,效忠xiàozhōng,2,9,
打鬥dǎdòu,打鬥dǎdòu,2,5,
方言fāngyán,方言fāngyán,2,7,
赫爾茨hèěrcí,赫爾茨hèěrcí,2,6,
微小wēixiǎo,微小wēixiǎo,2,7,
旅程lǚchéng,旅程lǚchéng,2,7,
滿族mǎnzú,滿族mǎnzú,2,5,
可能性kěnéngxìng,可能性kěnéngxìng,2,10,
激素jīsù,激素jīsù,2,4,
奧運會àoyùnhuì,奧運會àoyùnhuì,2,8,
猶太教yóutàijiào,猶太教yóutàijiào,2,10,
形象xíngxiàng,形象xíngxiàng,2,9,
肺fèi,肺fèi,2,3,
深遠shēnyuǎn,深遠shēnyuǎn,2,8,
居住jūzhù,居住jūzhù,2,5,
本週běnzhōu,本週běnzhōu,2,7,
生肖shēngxiào,生肖shēngxiào,2,9,
干預gànyù,干預gànyù,2,5,
海報hǎibào,海報hǎibào,2,6,
避孕bìyùn,避孕bìyùn,2,5,
省shěng,省shěng,2,5,
挪威nuówēi,挪威nuówēi,2,6,
必要bìyào,必要bìyào,2,5,
錯誤cuòwù,錯誤cuòwù,2,5,
首席shǒuxí,首席shǒuxí,2,6,
詹姆斯zhānmǔsī,詹姆斯zhānmǔsī,2,8,
溫特科恩wēntèkēēn,溫特科恩wēntèkēēn,2,9,
賠償péicháng,賠償péicháng,2,8,
說客shuōkè,說客shuōkè,2,6,
品牌pǐnpái,品牌pǐnpái,2,6,
取代qǔdài,取代qǔdài,2,5,
緊接jǐnjiē,緊接jǐnjiē,2,6,
長大zhǎngdà,長大zhǎngdà,2,7,
路易lùyì,路易lùyì,2,4,
顧客gùkè,顧客gùkè,2,4,
充分chōngfēn,充分chōngfēn,2,8,
莫伊米爾mòyīmǐěr,莫伊米爾mòyīmǐěr,2,8,
擴展kuòzhǎn,擴展kuòzhǎn,2,7,
場地chǎngde dì,場地chǎngde dì,2,10,
邁錫尼màixīní,邁錫尼màixīní,2,7,
訪問fǎngwèn,訪問fǎngwèn,2,7,
能源néngyuán,能源néngyuán,2,8,
透露tòulù,透露tòulù,2,5,
移除yíchú,移除yíchú,2,5,
亦yì,亦yì,2,2,
斯洛伐克sīluòfákè,斯洛伐克sīluòfákè,2,9,
嶄露頭角zhǎnlùtóujiǎo,嶄露頭角zhǎnlùtóujiǎo,2,13,
公國gōngguó,公國gōngguó,2,7,
法令fǎlìng,法令fǎlìng,2,6,
損失sǔnshī,損失sǔnshī,2,6,
女巫nǚwū,女巫nǚwū,2,4,
丹麥語dānmàiyǔ,丹麥語dānmàiyǔ,2,8,
抗議kàngyì,抗議kàngyì,2,6,
演化yǎnhuà,演化yǎnhuà,2,6,
受洗shòuxǐ,受洗shòuxǐ,2,6,
南極nánjí,南極nánjí,2,5,
加低斯jiādīsī,加低斯jiādīsī,2,7,
市shì,市shì,2,3,
一面yīmiàn,一面yīmiàn,2,6,
片場piànchǎng,片場piànchǎng,2,9,
帕爾馬pàěrmǎ,帕爾馬pàěrmǎ,2,6,
主導zhǔdǎo,主導zhǔdǎo,2,6,
平手píngshǒu,平手píngshǒu,2,8,
失望shīwàng,失望shīwàng,2,7,
標誌biāozhì,標誌biāozhì,2,7,
丟diū,丟diū,2,3,
分fēn,分fēn,2,3,
指揮zhǐhuī,指揮zhǐhuī,2,6,
拉美西斯lāměixīsī,拉美西斯lāměixīsī,2,9,
冰島bīngdǎo,冰島bīngdǎo,2,7,
強制qiángzhì,強制qiángzhì,2,8,
獲獎huòjiǎng,獲獎huòjiǎng,2,8,
團體tuántǐ,團體tuántǐ,2,6,
影片yǐngpiàn,影片yǐngpiàn,2,8,
擔心dānxīn,擔心dānxīn,2,6,
各gè,各gè,2,2,
安迪āndí,安迪āndí,2,4,
民國mínguó,民國mínguó,2,6,
樣yàng,樣yàng,2,4,
腓尼基féiníjī,腓尼基féiníjī,2,7,
找zhǎo,找zhǎo,2,4,
致命zhìmìng,致命zhìmìng,2,7,
控kòng,控kòng,2,4,
尤其yóuqí,尤其yóuqí,2,5,
顯然xiǎnrán,顯然xiǎnrán,2,7,
上午shàngwǔ,上午shàngwǔ,2,7,
衣服yīfú,衣服yīfú,2,4,
食物shíwù,食物shíwù,2,5,
今天jīntiān,今天jīntiān,2,7,
後來hòulái,後來hòulái,2,6,
太陽tàiyáng,太陽tàiyáng,2,7,
任rèn,任rèn,2,3,
古典gǔdiǎn,古典gǔdiǎn,2,6,
結構jiégòu,結構jiégòu,2,6,
靈感línggǎn,靈感línggǎn,2,7,
修建xiūjiàn,修建xiūjiàn,2,7,
有趣yǒuqù,有趣yǒuqù,2,5,
最多zuìduō,最多zuìduō,2,6,
互相hùxiāng,互相hùxiāng,2,7,
地理de dìlǐ,地理de dìlǐ,2,7,
通道tōngdào,通道tōngdào,2,7,
食品shípǐn,食品shípǐn,2,6,
利益lìyì,利益lìyì,2,4,
從而cóngér,從而cóngér,2,6,
推翻tuīfān,推翻tuīfān,2,6,
社區shèqū,社區shèqū,2,5,
徹底chèdǐ,徹底chèdǐ,2,5,
進場jìnchǎng,進場jìnchǎng,2,8,
諾瑪nuòmǎ,諾瑪nuòmǎ,2,5,
死亡sǐwáng,死亡sǐwáng,2,6,
隨時suíshí,隨時suíshí,2,6,
丘吉爾qiūjíěr,丘吉爾qiūjíěr,2,7,
青銅qīngtóng,青銅qīngtóng,2,8,
迦南人jiānánrén,迦南人jiānánrén,2,9,
爵位juéwèi,爵位juéwèi,2,6,
埃爾多安āiěrduōān,埃爾多安āiěrduōān,2,9,
養分yǎngfēn,養分yǎngfēn,2,7,
來臨láilín,來臨láilín,2,6,
礦物kuàngwù,礦物kuàngwù,2,7,
喬qiáo,喬qiáo,2,4,
驚訝jīngyà,驚訝jīngyà,2,6,
即使jíshǐ,即使jíshǐ,2,5,
主席zhǔxí,主席zhǔxí,2,5,
詞cí,詞cí,2,2,
正式zhèngshì,正式zhèngshì,2,8,
獎項jiǎngxiàng,獎項jiǎngxiàng,2,10,
克萊恩kèláiēn,克萊恩kèláiēn,2,7,
艾達àidá,艾達àidá,2,4,
確實quèshí,確實quèshí,2,6,
卡塔拉諾kǎtǎlānuò,卡塔拉諾kǎtǎlānuò,2,9,
大火dàhuǒ,大火dàhuǒ,2,5,
巴羅佐bāluózuǒ,巴羅佐bāluózuǒ,2,8,
格拉斯哥gélāsīgē,格拉斯哥gélāsīgē,2,8,
搬回bānhuí,搬回bānhuí,2,6,
局面júmiàn,局面júmiàn,2,6,
阿爾瓦雷茨āěrwǎléicí,阿爾瓦雷茨āěrwǎléicí,2,10,
立場lìchǎng,立場lìchǎng,2,7,
說法shuōfǎ,說法shuōfǎ,2,6,
小鎮xiǎozhèn,小鎮xiǎozhèn,2,8,
接觸jiēchù,接觸jiēchù,2,6,
背後bèihòu,背後bèihòu,2,6,
意圖yìtú,意圖yìtú,2,4,
報紙bàozhǐ,報紙bàozhǐ,2,6,
資金zījīn,資金zījīn,2,5,
乃至nǎizhì,乃至nǎizhì,2,6,
然而ránér,然而ránér,2,5,
梅méi,梅méi,2,3,
身份shēnfèn,身份shēnfèn,2,7,
勢力shìlì,勢力shìlì,2,5,
每年měinián,每年měinián,2,7,
瑪格麗特mǎgélìtè,瑪格麗特mǎgélìtè,2,8,
